,x,y
sample_0,-5.4381175,-14.56308
sample_1,-14.561198,8.114153
sample_2,-10.840048,-22.935156
sample_3,-9.534844,-19.635284
sample_4,8.284062,7.3618803
sample_5,-9.995948,-13.30974
sample_6,18.01,-14.71747
sample_7,-8.230718,-13.6022415
sample_8,0.6003645,12.703517
sample_9,-8.9582405,-22.133999
sample_10,3.5010018,4.0628695
sample_11,21.996992,-16.916986
sample_12,-11.075081,-15.358451
sample_13,0.45486614,-1.6341993
sample_14,9.907862,5.503068
sample_15,7.3803215,7.753933
sample_16,-13.053156,5.0954294
sample_17,21.374796,-18.302872
sample_18,19.55594,-21.087633
sample_19,-11.153767,-19.837101
sample_20,11.36231,13.141218
sample_21,16.340204,-20.2237
sample_22,-12.854581,3.8601792
sample_23,10.722406,4.1728487
sample_24,24.710815,-21.188347
sample_25,-12.552329,2.3342996
sample_26,-18.797419,21.8286
sample_27,7.5166063,5.2217317
sample_28,-2.1612787,14.305025
sample_29,-1.6366559,15.055791
sample_30,13.088942,8.016464
sample_31,10.882397,11.366488
sample_32,18.306406,-19.055775
sample_33,-0.1328613,-0.60580784
sample_34,-8.977884,-15.577779
sample_35,7.6162233,11.568866
sample_36,21.282326,-19.48963
sample_37,-11.659949,0.8178496
sample_38,3.0117934,1.7376883
sample_39,-0.5002783,-0.489123
sample_40,22.921429,-18.970774
sample_41,-8.970658,-17.208622
sample_42,-11.209427,-16.074398
sample_43,20.69741,-16.454401
sample_44,22.235292,-16.817827
sample_45,7.7303033,13.112067
sample_46,-7.5363755,-13.330849
sample_47,-18.005877,24.46355
sample_48,8.25309,13.718432
sample_49,-17.78175,3.7088494
sample_50,11.428475,9.256801
sample_51,-17.029917,2.181516
sample_52,-1.7986519,10.235484
sample_53,-8.381005,-19.588428
sample_54,-19.910437,24.583746
sample_55,-2.756011,9.2179165
sample_56,10.37075,7.2761455
sample_57,-18.949696,20.86848
sample_58,20.317436,-16.213663
sample_59,5.725435,6.885434
sample_60,-15.370581,8.627778
sample_61,12.551226,-15.346255
sample_62,5.054786,9.62054
sample_63,-14.976679,2.5469782
sample_64,-11.433825,-20.893568
sample_65,-19.217505,21.86321
sample_66,2.8613424,5.576687
sample_67,-10.236906,-21.507744
sample_68,20.765553,-21.029907
sample_69,-2.1697402,7.4705234
sample_70,24.056953,-16.81716
sample_71,2.1659107,3.7511456
sample_72,1.9520822,2.9579628
sample_73,-15.598755,2.0787458
sample_74,-0.37535492,13.310968
sample_75,-15.499766,6.729041
sample_76,5.9988074,7.604191
sample_77,17.12122,-14.98266
sample_78,-10.635199,-18.235151
sample_79,-18.482214,22.247978
sample_80,6.985035,14.19299
sample_81,-10.651372,-20.231792
sample_82,6.67043,6.800648
sample_83,12.634847,10.2243595
sample_84,-6.364477,-14.620689
sample_85,-9.519999,-16.457262
sample_86,7.738669,14.808039
sample_87,5.940154,1.5840387
sample_88,21.20748,-15.77673
sample_89,-2.4965317,11.814095
sample_90,-8.921548,-17.846931
sample_91,-6.9684834,-18.581158
sample_92,3.7133558,7.4939876
sample_93,-0.21698026,-1.0414381
sample_94,9.50916,7.99846
sample_95,-9.11355,-19.184431
sample_96,-18.346865,22.71871
sample_97,10.596007,6.794657
sample_98,-12.842244,-18.41797
sample_99,1.637087,6.8379316
sample_100,8.387156,4.6935644
sample_101,23.33724,-19.24508
sample_102,4.333745,11.052784
sample_103,23.456291,-22.840132
sample_104,-18.226576,3.843878
sample_105,23.168436,-18.27712
sample_106,-11.703577,10.181336
sample_107,-18.92368,19.365261
sample_108,-16.714834,8.567221
sample_109,-9.799487,7.1681705
